tipo,repeticion,valor
vd2_ms,1,962.0
vd2_ms,2,926.0
vd2_ms,3,982.0
vd2_ms,4,949.0
vd2_ms,5,974.0
vd2_ms,6,1000.0
vd2_ms,7,970.0
vd2_ms,8,978.0
vd2_ms,9,948.0
vd2_ms,10,947.0
vd2_ms,11,871.0
vd2_ms,12,976.0
vd2_ms,13,1002.0
vd2_ms,14,997.0
vd2_ms,15,983.0
vd2_ms,16,945.0
vd2_ms,17,941.0
vd2_ms,18,881.0
vd2_ms,19,899.0
vd2_ms,20,1000.0
vd2_ms,21,959.0
vd2_ms,22,971.0
vd2_ms,23,957.0
vd2_ms,24,1001.0
vd2_ms,25,978.0
vd2_ms,26,962.0
vd2_ms,27,951.0
vd2_ms,28,984.0
vd2_ms,29,945.0
vd2_ms,30,988.0
vd1_registros,1,5111
vd1_registros,2,5013
vd1_registros,3,4506
