tipo,repeticion,valor
vd2_ms,1,998.0
vd2_ms,2,981.0
vd2_ms,3,948.0
vd2_ms,4,988.0
vd2_ms,5,956.0
vd2_ms,6,969.0
vd2_ms,7,969.0
vd2_ms,8,999.0
vd2_ms,9,918.0
vd2_ms,10,951.0
vd2_ms,11,981.0
vd2_ms,12,988.0
vd2_ms,13,1002.0
vd2_ms,14,971.0
vd2_ms,15,1004.0
vd2_ms,16,1002.0
vd2_ms,17,1004.0
vd2_ms,18,995.0
vd2_ms,19,990.0
vd2_ms,20,969.0
vd2_ms,21,1000.0
vd2_ms,22,988.0
vd2_ms,23,968.0
vd2_ms,24,888.0
vd2_ms,25,994.0
vd2_ms,26,998.0
vd2_ms,27,946.0
vd2_ms,28,991.0
vd2_ms,29,989.0
vd2_ms,30,991.0
vd1_registros,1,5238
vd1_registros,2,5392
vd1_registros,3,5459
