tipo,repeticion,valor
vd2_ms,1,969.0
vd2_ms,2,953.0
vd2_ms,3,1003.0
vd2_ms,4,950.0
vd2_ms,5,894.0
vd2_ms,6,949.0
vd2_ms,7,997.0
vd2_ms,8,994.0
vd2_ms,9,979.0
vd2_ms,10,911.0
vd2_ms,11,980.0
vd2_ms,12,989.0
vd2_ms,13,1003.0
vd2_ms,14,897.0
vd2_ms,15,958.0
vd2_ms,16,986.0
vd2_ms,17,999.0
vd2_ms,18,998.0
vd2_ms,19,995.0
vd2_ms,20,975.0
vd2_ms,21,990.0
vd2_ms,22,981.0
vd2_ms,23,1004.0
vd2_ms,24,845.0
vd2_ms,25,995.0
vd2_ms,26,976.0
vd2_ms,27,990.0
vd2_ms,28,981.0
vd2_ms,29,932.0
vd2_ms,30,976.0
vd1_registros,1,5213
vd1_registros,2,5405
vd1_registros,3,4978
