tipo,repeticion,valor
vd2_ms,1,1000.0
vd2_ms,2,999.0
vd2_ms,3,1002.0
vd2_ms,4,997.0
vd2_ms,5,949.0
vd2_ms,6,964.0
vd2_ms,7,994.0
vd2_ms,8,999.0
vd2_ms,9,997.0
vd2_ms,10,955.0
vd2_ms,11,1000.0
vd2_ms,12,999.0
vd2_ms,13,987.0
vd2_ms,14,1003.0
vd2_ms,15,999.0
vd2_ms,16,994.0
vd2_ms,17,996.0
vd2_ms,18,1002.0
vd2_ms,19,996.0
vd2_ms,20,992.0
vd2_ms,21,963.0
vd2_ms,22,1001.0
vd2_ms,23,1001.0
vd2_ms,24,958.0
vd2_ms,25,991.0
vd2_ms,26,986.0
vd2_ms,27,990.0
vd2_ms,28,977.0
vd2_ms,29,983.0
vd2_ms,30,983.0
vd1_registros,1,7141
vd1_registros,2,6285
vd1_registros,3,5225
