tipo,repeticion,valor
vd2_ms,1,986.0
vd2_ms,2,996.0
vd2_ms,3,995.0
vd2_ms,4,1003.0
vd2_ms,5,993.0
vd2_ms,6,979.0
vd2_ms,7,955.0
vd2_ms,8,996.0
vd2_ms,9,978.0
vd2_ms,10,989.0
vd2_ms,11,983.0
vd2_ms,12,991.0
vd2_ms,13,944.0
vd2_ms,14,974.0
vd2_ms,15,1003.0
vd2_ms,16,938.0
vd2_ms,17,995.0
vd2_ms,18,947.0
vd2_ms,19,993.0
vd2_ms,20,894.0
vd2_ms,21,980.0
vd2_ms,22,978.0
vd2_ms,23,990.0
vd2_ms,24,979.0
vd2_ms,25,979.0
vd2_ms,26,1005.0
vd2_ms,27,914.0
vd2_ms,28,979.0
vd2_ms,29,967.0
vd2_ms,30,993.0
vd1_registros,1,5315
vd1_registros,2,5324
vd1_registros,3,5391
