tipo,repeticion,valor
vd2_ms,1,903.0
vd2_ms,2,962.0
vd2_ms,3,991.0
vd2_ms,4,988.0
vd2_ms,5,984.0
vd2_ms,6,947.0
vd2_ms,7,994.0
vd2_ms,8,994.0
vd2_ms,9,956.0
vd2_ms,10,993.0
vd2_ms,11,987.0
vd2_ms,12,967.0
vd2_ms,13,907.0
vd2_ms,14,951.0
vd2_ms,15,977.0
vd2_ms,16,952.0
vd2_ms,17,961.0
vd2_ms,18,995.0
vd2_ms,19,994.0
vd2_ms,20,938.0
vd2_ms,21,971.0
vd2_ms,22,990.0
vd2_ms,23,977.0
vd2_ms,24,971.0
vd2_ms,25,972.0
vd2_ms,26,999.0
vd2_ms,27,993.0
vd2_ms,28,998.0
vd2_ms,29,998.0
vd2_ms,30,983.0
vd1_registros,1,5931
vd1_registros,2,5984
vd1_registros,3,5829
