tipo,repeticion,valor
vd2_ms,1,1001.0
vd2_ms,2,1003.0
vd2_ms,3,961.0
vd2_ms,4,988.0
vd2_ms,5,982.0
vd2_ms,6,1003.0
vd2_ms,7,988.0
vd2_ms,8,980.0
vd2_ms,9,988.0
vd2_ms,10,996.0
vd2_ms,11,977.0
vd2_ms,12,989.0
vd2_ms,13,985.0
vd2_ms,14,989.0
vd2_ms,15,1002.0
vd2_ms,16,980.0
vd2_ms,17,985.0
vd2_ms,18,996.0
vd2_ms,19,979.0
vd2_ms,20,989.0
vd2_ms,21,1000.0
vd2_ms,22,998.0
vd2_ms,23,994.0
vd2_ms,24,1001.0
vd2_ms,25,1001.0
vd2_ms,26,997.0
vd2_ms,27,998.0
vd2_ms,28,996.0
vd2_ms,29,971.0
vd2_ms,30,1002.0
vd1_registros,1,1447
vd1_registros,2,1213
vd1_registros,3,2105
