tipo,repeticion,valor
vd2_ms,1,984.0
vd2_ms,2,1001.0
vd2_ms,3,979.0
vd2_ms,4,995.0
vd2_ms,5,999.0
vd2_ms,6,1003.0
vd2_ms,7,1001.0
vd2_ms,8,994.0
vd2_ms,9,1000.0
vd2_ms,10,988.0
vd2_ms,11,1005.0
vd2_ms,12,999.0
vd2_ms,13,1004.0
vd2_ms,14,998.0
vd2_ms,15,994.0
vd2_ms,16,1005.0
vd2_ms,17,997.0
vd2_ms,18,967.0
vd2_ms,19,995.0
vd2_ms,20,997.0
vd2_ms,21,1001.0
vd2_ms,22,995.0
vd2_ms,23,908.0
vd2_ms,24,994.0
vd2_ms,25,1000.0
vd2_ms,26,992.0
vd2_ms,27,973.0
vd2_ms,28,999.0
vd2_ms,29,976.0
vd2_ms,30,999.0
vd1_registros,1,1114
vd1_registros,2,1987
vd1_registros,3,2179
