tipo,repeticion,valor
vd2_ms,1,1003.0
vd2_ms,2,992.0
vd2_ms,3,1001.0
vd2_ms,4,988.0
vd2_ms,5,931.0
vd2_ms,6,1001.0
vd2_ms,7,1003.0
vd2_ms,8,1001.0
vd2_ms,9,970.0
vd2_ms,10,991.0
vd2_ms,11,999.0
vd2_ms,12,996.0
vd2_ms,13,1002.0
vd2_ms,14,992.0
vd2_ms,15,977.0
vd2_ms,16,1000.0
vd2_ms,17,994.0
vd2_ms,18,971.0
vd2_ms,19,969.0
vd2_ms,20,997.0
vd2_ms,21,991.0
vd2_ms,22,1002.0
vd2_ms,23,981.0
vd2_ms,24,978.0
vd2_ms,25,996.0
vd2_ms,26,974.0
vd2_ms,27,1014.0
vd2_ms,28,999.0
vd2_ms,29,995.0
vd2_ms,30,990.0
vd1_registros,1,2193
vd1_registros,2,3363
vd1_registros,3,3251
